"Postal Areas (UR) by Highest Year of School Completed (HSCP)"
"Counting: Persons, Place of Usual Residence"

,"Highest Year of School Completed (HSCP)","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
,"Postal Areas (UR)",
,"5276, SA",420,292,241,65,63,0,89,227,1397,
,"5277, SA",683,435,434,148,197,9,174,492,2572,
,"5278, SA",132,79,85,47,41,0,36,101,521,
,"5279, SA",45,63,72,43,41,5,20,88,377,
,"5280, SA",1729,1464,1266,525,573,18,441,1444,7460,
,"5290, SA",6094,4612,4168,1608,1760,112,1406,5144,24904,
,"5291, SA",2010,1662,1416,521,496,8,611,1838,8562,
,"5301, SA",102,85,89,36,36,0,26,105,479,
,"5302, SA",222,141,151,57,64,5,46,162,848,
,"5303, SA",98,75,70,31,29,0,20,91,414,
,"5304, SA",136,88,99,44,57,13,37,84,558,
,"5307, SA",117,92,106,35,81,4,26,113,574,
,"5308, SA",45,43,38,27,19,6,17,34,229,
,"5309, SA",41,11,29,6,12,0,26,34,159,
,"5311, SA",126,115,107,34,35,0,45,123,585,
,"5320, SA",116,107,141,66,65,0,40,76,611,
,"5321, SA",47,36,56,25,29,0,203,48,444,
,"5322, SA",190,160,205,92,88,5,45,173,958,
,"5330, SA",682,509,515,239,328,19,165,592,3049,
,"5331, SA",161,109,120,54,33,0,46,121,644,
,"5332, SA",24,25,30,5,10,0,6,19,119,
,"5333, SA",1319,992,956,376,556,25,350,1041,5615,
,"5340, SA",329,230,237,89,106,4,86,255,1336,
,"5341, SA",1636,1208,1308,519,622,89,674,1438,7494,
,"5342, SA",279,206,220,50,84,4,66,248,1157,
,"5343, SA",1157,780,865,404,422,25,427,1021,5101,
,"5344, SA",216,163,139,46,88,10,58,211,931,
,"5345, SA",743,519,599,234,340,46,341,618,3440,
