"Postal Areas (UR) by Occupation (OCCP)"
"Counting: Persons, Place of Usual Residence"

,"Occupation (OCCP)","Community and Personal Service Workers nfd","Health and Welfare Support Workers nfd","Ambulance Officers and Paramedics","Dental Hygienists, Technicians and Therapists","Diversional Therapists","Enrolled and Mothercraft Nurses","Indigenous Health Workers","Massage Therapists","Welfare Support Workers","Carers and Aides nfd","Child Carers","Education Aides","Personal Carers and Assistants nfd","Aged and Disabled Carers","Dental Assistants","Nursing Support and Personal Care Workers","Special Care Workers","Hospitality Workers nfd","Bar Attendants and Baristas","Cafe Workers","Gaming Workers","Hotel Service Managers","Waiters","Other Hospitality Workers","Protective Service Workers nfd","Defence Force Members, Fire Fighters and Police nfd","Defence Force Members - Other Ranks","Fire and Emergency Workers","Police","Prison and Security Officers nfd","Prison Officers","Security Officers and Guards","Sports and Personal Service Workers nfd","Personal Service and Travel Workers nfd","Beauty Therapists","Driving Instructors","Funeral Workers","Gallery, Museum and Tour Guides","Personal Care Consultants","Tourism and Travel Advisers","Travel Attendants","Other Personal Service Workers","Sports and Fitness Workers nfd","Fitness Instructors","Outdoor Adventure Guides","Sports Coaches, Instructors and Officials","Sportspersons","Total",
,"Postal Areas (UR)",
,"2061, NSW",6,0,0,0,0,3,0,0,3,0,14,3,0,9,3,0,0,4,11,0,0,4,16,0,0,0,0,0,7,0,0,4,0,0,0,0,0,4,0,13,9,6,0,12,0,4,0,135,
,"2062, NSW",0,0,0,4,0,0,0,10,8,0,44,0,0,11,4,11,0,3,27,10,0,0,27,0,0,0,5,4,10,0,0,4,0,0,11,0,0,8,0,17,10,5,0,11,0,15,3,262,
,"2063, NSW",0,0,0,4,0,3,0,0,0,0,35,3,0,8,0,6,0,0,34,5,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,4,3,0,13,0,16,4,186,
,"2064, NSW",0,0,3,0,0,0,0,4,11,0,47,7,0,19,10,32,0,0,33,12,0,5,43,0,0,0,6,0,13,0,0,13,0,0,7,0,0,4,0,28,4,0,0,10,0,13,0,324,
,"2065, NSW",0,0,3,12,7,5,0,20,30,8,119,13,0,35,21,50,4,10,126,13,5,17,140,8,0,0,25,0,26,0,0,17,0,0,25,4,3,18,11,45,26,17,9,51,0,35,7,965,
,"2066, NSW",0,7,8,5,7,4,0,11,37,8,147,41,0,40,18,62,3,7,133,15,8,6,108,9,0,0,6,6,28,0,0,25,0,0,17,3,0,12,7,44,28,12,0,54,0,57,6,989,
,"2067, NSW",0,0,0,13,0,3,0,14,26,5,119,19,0,34,26,65,4,7,83,37,12,3,148,0,0,0,6,0,14,0,0,15,0,0,19,3,0,4,14,27,10,13,0,30,0,30,0,803,
,"2068, NSW",0,0,0,8,0,0,0,9,16,0,67,15,0,24,12,20,0,8,59,11,0,4,76,0,0,0,8,3,12,0,0,14,0,0,4,0,0,5,0,35,17,6,0,25,0,33,8,499,
,"2069, NSW",0,0,3,5,0,0,0,6,5,4,61,13,0,19,7,20,0,8,44,10,0,0,52,6,0,0,4,0,10,0,0,5,0,0,0,6,0,8,3,17,17,12,0,14,0,37,3,399,
,"2070, NSW",0,0,0,4,0,5,0,0,10,3,64,13,0,20,3,11,0,7,46,10,4,0,39,0,0,0,0,0,13,0,0,3,0,0,3,0,0,6,4,14,10,6,0,10,0,38,0,346,
,"2071, NSW",0,0,0,0,0,0,0,7,8,5,44,23,0,25,7,9,0,0,44,7,0,4,74,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,13,5,4,0,14,0,35,0,337,
,"2072, NSW",0,0,0,0,0,0,0,0,9,0,33,10,0,9,0,7,0,0,24,9,4,0,31,0,0,0,0,4,6,0,0,5,0,0,9,0,0,0,4,10,6,5,0,5,0,30,0,220,
,"2073, NSW",0,0,0,0,5,0,0,0,10,4,80,21,0,20,13,12,13,7,39,15,0,4,69,4,0,0,4,4,17,0,4,8,0,0,7,0,0,4,8,19,5,7,0,17,5,65,0,490,
,"2074, NSW",6,0,3,5,0,3,0,5,32,0,105,43,0,36,7,33,4,0,71,21,0,3,77,4,0,0,0,3,23,0,0,12,0,0,9,9,0,0,3,25,6,13,0,28,0,63,4,656,
,"2075, NSW",0,0,3,13,3,0,0,8,19,5,114,24,0,39,14,17,0,3,62,15,0,4,73,0,0,0,4,0,14,0,0,10,0,0,18,4,0,3,0,29,5,18,0,37,0,66,3,627,
,"2076, NSW",0,0,6,3,10,5,0,13,36,4,118,45,0,58,18,96,20,15,70,23,0,0,77,3,0,0,4,3,22,0,0,11,0,0,13,8,0,6,0,36,11,17,0,37,0,87,0,875,
,"2077, NSW",0,7,24,18,19,34,0,21,54,12,262,49,9,164,50,183,5,10,91,35,6,9,103,8,0,0,7,18,91,0,3,55,0,0,29,8,3,12,6,46,21,17,0,43,7,73,18,1630,
,"2079, NSW",0,0,8,0,0,7,0,0,22,0,63,22,0,36,7,15,0,4,26,10,0,0,22,0,0,0,5,11,29,0,0,17,0,0,11,5,0,0,0,11,4,6,0,17,0,14,0,372,
,"2080, NSW",0,0,0,0,5,0,0,0,6,0,17,4,0,3,4,15,0,0,4,0,0,0,10,5,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,91,
,"2081, NSW",0,0,7,4,0,4,0,0,15,5,50,5,0,14,0,13,0,0,19,6,0,0,24,0,0,0,5,5,16,0,3,12,0,0,4,0,0,0,4,8,3,3,0,16,0,17,0,262,
,"2082, NSW",0,0,3,0,4,8,0,7,6,0,46,9,0,26,4,16,0,0,26,3,0,0,15,4,0,0,3,4,13,0,0,5,0,0,8,0,0,0,0,10,4,5,0,8,0,14,0,251,
,"2083, NSW",0,0,0,0,0,0,0,4,4,0,5,0,0,6,0,3,0,5,13,4,5,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,
,"2084, NSW",0,0,0,0,4,0,0,0,8,0,22,8,0,15,0,5,0,0,13,6,0,0,14,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,4,5,0,13,0,8,0,135,
,"2085, NSW",0,0,9,3,3,3,0,3,12,4,60,20,0,35,5,16,0,8,36,19,4,0,33,5,0,0,0,3,23,0,0,10,0,0,16,3,0,0,4,20,5,0,0,14,0,38,0,414,
,"2086, NSW",0,0,3,5,8,0,0,7,10,4,73,24,0,49,10,10,0,3,44,11,5,8,30,5,0,0,6,7,36,0,0,7,0,0,20,0,0,0,5,22,10,7,0,28,7,37,3,504,
,"2087, NSW",0,0,11,3,0,0,0,4,11,4,63,21,0,39,6,8,0,4,40,14,4,3,41,10,0,0,3,8,18,0,3,5,0,0,14,0,0,3,3,17,12,10,0,24,0,26,0,432,
,"2088, NSW",0,0,3,4,3,8,0,15,26,0,123,10,5,43,8,35,6,17,128,24,0,9,116,11,0,0,35,3,22,0,0,12,0,0,23,3,4,12,5,53,33,14,0,74,0,54,6,947,
,"2089, NSW",0,0,0,3,0,4,0,9,11,5,51,12,0,20,9,21,0,14,60,7,5,7,67,10,0,0,8,3,10,0,3,7,0,0,10,0,5,8,7,41,9,3,0,33,0,15,0,477,
,"2090, NSW",0,0,0,4,0,5,0,17,10,0,45,8,0,16,8,13,0,3,44,6,3,7,63,0,0,0,10,0,12,0,0,7,0,0,21,0,0,14,3,38,22,12,0,35,0,25,3,454,
,"2092, NSW",0,0,4,0,0,0,0,6,3,0,27,11,0,16,4,11,0,5,20,8,0,0,31,0,0,0,5,5,4,0,0,0,0,0,5,0,0,0,0,6,11,4,0,12,0,26,0,224,
,"2093, NSW",4,0,5,9,4,0,0,23,33,8,154,27,0,63,13,35,0,13,96,26,6,9,92,11,0,0,0,22,38,0,0,14,0,0,23,5,0,9,3,46,24,14,0,49,5,52,10,945,
,"2094, NSW",0,0,3,5,5,0,0,4,12,3,34,0,0,6,7,7,0,0,26,5,0,0,39,0,0,0,0,7,15,0,0,8,0,0,3,0,0,0,4,14,16,0,0,22,4,5,4,258,
,"2095, NSW",0,0,7,3,0,5,0,10,21,3,85,12,0,22,12,20,4,5,78,15,3,6,118,3,0,0,0,5,13,0,0,11,0,0,18,0,0,8,6,42,27,3,0,38,0,26,14,643,
,"2096, NSW",0,0,16,5,0,9,0,12,25,4,112,19,0,45,17,17,0,4,74,12,0,9,52,0,0,0,6,31,46,0,4,7,0,0,26,0,0,4,3,40,40,11,0,53,0,40,11,754,
